SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,-2,2,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,14699,8427,6158,114,0,1387,992,386,9,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,10378,4833,5437,108,0,789,488,294,7,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,20395,13662,6569,164,0,1215,743,465,7,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,14668,6556,7978,134,0,906,669,224,13,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,6843,2041,4641,161,0,313,220,92,1,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,16847,8575,8077,195,0,1124,649,467,8,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,-16,16,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,5167,2455,2649,63,0,406,275,125,6,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,7316,5080,2194,42,0,861,742,115,4,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,6570,2894,3606,70,0,402,108,290,4,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,10765,8074,2586,105,0,983,723,255,5,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,4204,2261,1887,56,0,388,199,188,1,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,12310,6893,5323,94,0,956,235,719,2,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,7876,3969,3864,43,0,646,443,202,1,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,4,0,4,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,235,120,115,0,0,38,38,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,37,35,2,0,0,12,12,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,71,39,32,0,0,14,14,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,1,1,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,12,1,11,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,23,19,4,0,0,1,1,0,0,,
